description,code|1,code|1|type,code|2,code|2|type,code|3,code|3|type,code|4,code|4|type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,modifiers,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,estimated_amount,standard_charge|min,standard_charge|max,standard_charge|methodology,additional_generic_notes,service|type,code|1|description,code|2|description,clinical_domain,pricing|discounted,pricing|gross,description_clean
Sigmoidoscopy Rem Tumor/Polyp Snare,PX-75000187,CDM,45338,CPT,750.0,RC,,,outpatient,,,2685.0,2013.75,COMMONWEALTH CARE ALLIANCE [1007],COMMONWEALTH CARE ALLIANCE PREF VALUE MEDICARE REPLACEMENT [100703],,,,Paid using APC or APG reimbursement logic. Includes reimbursement for any outliers.,1287.95,126.55,1847.68,other,OPPS APC,CPT,Unknown,Unknown,Unknown,0.0012959823164514863,,sigmoidoscopy rem tumorpolyp snare
CATHETER CVC 12.5FRX90CM HICKMAN TRIPLE LUMEN W/PEEL AWAY INTRODUCER,SUP-133145,CDM,C1751,HCPCS,272.0,RC,,,inpatient,,,647.5,485.62,UNITED HEALTHCARE [1016],UNITED PPO AARP MEDICARE REPLACEMENT [101612],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0003125239468312723,,catheter cvc 125frx90cm hickman triple lumen wpeel away introducer
"Trauma To The Skin, Subcutaneous Tissue And Breast Without McC",605,MS-DRG,,,,,,,inpatient,,,34988.93,26241.7,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS NEW ENGLAND MA [11000134],,15883.82,,"Base payment rate plus any adjustments related to medical education, transfers, or outliers.",29005.37,4127.15,30995.74,case rate,,MS-DRG,Unknown,Unknown,Unknown,0.016888360063266262,,trauma skin subcutaneous tissue breast without mcc
Mgh Herpes Virus 8 Dna Pcr,PX-30002298,CDM,87798,CPT,306.0,RC,,,inpatient,,,362.0,271.5,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS ANTHEM NH HMO POS [11000118],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.0001747227740887175,,mgh herpes virus 8 dna pcr
GRAFT MESH 1.6IN 2IN 4.1CM 5CM XL PERFIX POLYPROPYLENE MONOFILAMENT PLUG INGUINAL HERNIA SOFT TISSUE REPAIR BX/6EA,SUP-527205,CDM,C1781,HCPCS,278.0,RC,,,outpatient,,,804.3,603.22,CENTERS OF EXCELLENCE [1026],AETNA TRANSPLANT [102601],,,65.6,,527.62,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,0.00038820775924732143,,graft mesh 16in 2in 41cm 5cm xl perfix polypropylene monofilament plug inguinal hernia soft tissue repair bx6ea
CLINDAMYCIN SYR IN D5W (15 MG/ML) NEO_BWH_MGH,RX-700298,CDM,J0736,HCPCS,636.0,RC,00000-0007-31,NDC,inpatient,1.0,ML,0.27,0.2,MGB HEALTH PLAN [150001],MGBHP GIC COMPLETE HMO [15000118],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,1.2227826835926307e-07,,clindamycin syr d5w 15 mgml neobwhmgh
Determine Venous Pressure,PX-48000029,CDM,93770,CPT,480.0,RC,,,inpatient,,,190.0,142.5,MEDICARE [2001],MEDICARE RAILROAD [200105],,,,,,,,,,CPT,Unknown,Unknown,Unknown,9.17022655711126e-05,,determine venous pressure
Apply Cast Shoulder to Hips 1,PX-76000689,CDM,29044,CPT,510.0,RC,,,outpatient,,,1022.0,766.5,HARVARD PILGRIM [120001],HPHC QUALITY LIMITED NTWK HMO [12000101],,134.62,,,1022.0,134.62,1159.85,other,Multiple Surgery,CPT,Unknown,Unknown,Unknown,0.0004932898416562712,,apply cast shoulder hips 1
"NIFEDIPINE ER 90 MG TABLET,EXTENDED RELEASE 24 HR",RX-27660,CDM,25009999,HCPCS,259.0,RC,50268-0599-15,NDC,inpatient,1.0,UN,5.1,,ELDER SERVICES [1037],ELDER SERVICE NEIGHBORHOOD PACE [103602],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,,,nifedipine er 90 mg tabletextended release 24 hr
CT Abdomen & Pevis With Contrast,PX-35000077,CDM,74177,CPT,352.0,RC,,,outpatient,,,2754.0,2065.5,GENERIC MEDICARE REPLACEMENT [1010],NEIGHBORHOOD HEALTH PLAN RI SCO MEDICARE REPLACEMENT [101008],,265.93,,,265.93,265.93,1910.21,fee schedule,,CPT,Unknown,Unknown,Unknown,0.0013292870553335487,,ct abdomen pevis contrast
Pt E-Stim Unattended Other,PX-42000053,CDM,G0283,HCPCS,421.0,RC,,,outpatient,,,95.0,71.25,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS MA INDEMNITY [11000104],,171.82,,,171.82,16.52,171.82,case rate,,HCPCS,Unknown,Unknown,Unknown,4.584791493638895e-05,,pt estim unattended
PLATE HAND 63X2.4MM 8 HOLE STRAIGHT LC DCP MODULAR SYSTEM TITANIUM,SUP-16462,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,1873.87,1405.4,TUFTS HEALTH PLAN [170001],TUFTS SPIRIT OR SELECT [17000107],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0009044666082601301,,plate hand 63x24mm 8 hole straight lc dcp modular system titanium
BONE PLATE WIRE SM VIROFORM FRAGMENT,SUP-348624,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,367.5,275.62,UNITED HEALTHCARE ALTERNATE [1020],UNITED HARVARD PILGRIM PREFERRED B [102003],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0001773742818026131,,bone plate wire sm viroform fragment
G140016 Veniti Vici Venous Stent System,PX-27001139,CDM,,,278.0,RC,,,inpatient,,,5100.0,3825.0,CIGNA ALTERNATE [1018],TUFTS CIGNA CARELINK NON PREFERRED [101803],,,,,,,,,,CDM,Unknown,Unknown,Unknown,0.0024616481773236717,,g140016 veniti vici venous stent system
Medical Physics Special,PX-33000027,CDM,77370,CPT,333.0,RC,,,outpatient,,,1111.0,833.25,HARVARD PILGRIM [120001],HPHC CONNECTORCARE [12000126],,210.41,,,210.41,168.62,619.46,fee schedule,,CPT,Unknown,Unknown,Unknown,0.0005362481280403807,,medical physics special
PIFLUFOLASTAT F 18  296 MBQ TO 370 MBQ (8 MCI TO 10 MCI) IV SYRINGE,RX-213407,CDM,A9595,HCPCS,343.0,RC,71258-0022-00,NDC,outpatient,1.0,UN,20136.5,15102.37,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS BLUE BENEFITS ADMINISTRATORS [11000101],,2070.77,,,2070.77,721.95,2070.77,fee schedule,,HCPCS,Unknown,Unknown,Unknown,0.009719423310201052,,piflufolastat f 18 296 mbq 370 mbq 8 mci 10 mci iv syringe
TEMOZOLOMIDE 10 MG/ML ORAL SUSPENSION CMPD MGH_SRH,RX-701640,CDM,J8700,HCPCS,636.0,RC,00000-0027-60,NDC,inpatient,30.0,ML,2081.18,1560.88,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS NEW ENGLAND ANTHEM ME [11000137],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0010045288459680154,,temozolomide 10 mgml oral suspension cmpd mghsrh
"SODIUM,POTASSIUM,MAG SULFATES 17.5 GRAM-3.13 GRAM-1.6 GRAM ORAL SOLN",RX-106061,CDM,25009999,HCPCS,250.0,RC,10572-0012-01,NDC,outpatient,1.0,UN,343.03,257.27,WELLSENSE [1003],WELLSENSE BOSTON CHILDREN'S ACO [100317],,,,,343.03,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,0.00016556477535844215,,sodiumpotassiummag sulfates 175 gram313 gram16 gram oral soln
"Yescarta/ No Charge, Not Liable",PX-63601296,CDM,Q2041,HCPCS,891.0,RC,,,outpatient,,,0.01,0.01,UNITED HEALTHCARE [1016],UNITED HMO AARP MEDICARE REPLACEMENT [101607],,,,,0.01,99999.99,1051644.36,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,0.0,,yescarta charge liable
EXEMESTANE 25 MG TABLET,RX-26551,CDM,25009999,HCPCS,250.0,RC,00832-0595-30,NDC,inpatient,1.0,UN,6.52,4.89,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS MA HMO POS [11000103],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,3.140620787332651e-06,,exemestane 25 mg tablet
Actigraphy Testing 72 Hrs to 14 Con,PX-74000003,CDM,95803,CPT,920.0,RC,,,outpatient,,,3407.0,2555.25,TRICARE [160005],TRICARE SOUTH REGION [16000502],,,,,3407.0,90.38,409.66,other,APC grouping requires price history; No contract line matched,CPT,Unknown,Unknown,Unknown,0.0016444753812753859,,actigraphy testing 72 hrs 14 con
WRIST PLATE 118MM FUSION LCP TITANIUM SHORT BEND,SUP-368525,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,4174.71,3131.03,UNITED HEALTHCARE ALTERNATE [1020],UNITED HARVARD PILGRIM NON PREFERRED A [102004],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.002015030019990631,,wrist plate 118mm fusion lcp titanium short bend
Exc Tumor Shoulder Subq 3cm Grter,PX-76000379,CDM,23071,CPT,761.0,RC,,,inpatient,,,5983.0,4487.25,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS MA MEDICARE HMO BLUE REPLACEMENT [11000107],,,,,,1237.95,1237.95,,,CPT,Unknown,Unknown,Unknown,0.0028878522995390505,,exc tumor shoulder subq 3cm grter
Place Cth Venous 1st Order Branch|BILATERAL PROCEDURE,PX-76001032,CDM,36011,CPT,361.0,RC,,,outpatient,,,4063.0,3047.25,CIGNA [1006],CIGNA HMO MEDICARE REPLACEMENT [100614],50,,,,4063.0,,,other,APC grouping requires price history; No contract line matched,CPT,Unknown,Unknown,Unknown,0.0019611117393425305,,place cth venous 1st order branchbilateral procedure
Tx Fx Fibula Shaft/Prox W/Oman Clsd,PX-76000610,CDM,27780,CPT,761.0,RC,,,inpatient,,,1775.0,1331.25,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS NEW ENGLAND ANTHEM ME [11000137],,,,,,225.09,225.09,,,CPT,Unknown,Unknown,Unknown,0.000856745905108344,,tx fx fibula shaftprox woman clsd
Nucleic Acid Amp Bartonella,PX-30001261,CDM,87471,CPT,306.0,RC,,,outpatient,,,419.0,314.25,MGB HEALTH PLAN [150001],MGBHP HMO MEDICARE REPLACEMENT [15000115],,35.09,,,35.09,34.39,195.53,fee schedule,,CPT,Unknown,Unknown,Unknown,0.0002022353844695517,,nucleic acid amp bartonella
Ep Intra-Atrial Pacing,PX-48000152,CDM,93610,CPT,481.0,RC,,,inpatient,,,2714.0,2035.5,VETERANS ADMINISTRATION [160006],VETERANS ADMINISTRATION SPECIAL BILLING [16000605],,,,,,4587.65,4587.65,,,CPT,Unknown,Unknown,Unknown,0.0013099799603294546,,ep intraatrial pacing
Perq Prcrd Drg 6yr+ W/O Congenital Car Anomaly,PX-36000458,CDM,33017,CPT,361.0,RC,,,inpatient,,,6932.0,5199.0,MEDICARE [2001],MEDICARE PART A & B [200103],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.0033459131285111846,,perq prcrd drg 6yr wo congenital car anomaly
STENT ADVANIX 10FR 10CM RX BILIARY DOUBLE PIGTAIL POLYETHYLENE NAVIFLEX DELIVERY SYSTEM,SUP-446403,CDM,C1876,HCPCS,278.0,RC,,,inpatient,,,193.55,145.16,MGB HEALTH PLAN [150001],MGBHP EMPLOYEES FAMILY [15000110],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,9.341416132814228e-05,,stent advanix 10fr 10cm rx biliary double pigtail polyethylene naviflex delivery system
R&B Cicu/Ccu Heart Transplant,PX-21300001,CDM,21300001,LOCAL,213.0,RC,,,inpatient,,,12119.0,9089.25,MGB HEALTH PLAN [150001],MGBHP PPO MEDICARE REPLACEMENT [15000116],,,,,,,,,,LOCAL,Unknown,Unknown,Unknown,0.005849560673167096,,rb cicuccu heart transplant
HC Prep Above Knee Ischial Open End Socket Tier1,PX-27000546,CDM,L5585,HCPCS,274.0,RC,,,inpatient,,,2943.0,2207.25,ELDER SERVICES [1037],ELEMENT CARE [103601],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0014205130792278935,,hc prep knee ischial open end socket tier1
DOPPLER ANASTAMOSIS 3MM DEVICE CLOSURE VASCULAR FLOWCOUPLER,SUP-361083,CDM,,,278.0,RC,,,outpatient,,,3135.0,2351.25,MEDICAID NON MASSACHUSETTS [3002],VERMONT MEDICAID [300208],,,,,3135.0,,,other,APC grouping requires price history; No contract line matched,CDM,Unknown,Unknown,Unknown,0.0015131871352475456,,doppler anastamosis 3mm device closure vascular flowcoupler
Telethx Isodose Pln Smpl W/Dosimetry Calculation,PX-33000102,CDM,77306,CPT,333.0,RC,,,inpatient,,,817.0,612.75,TUFTS HEALTH PLAN [170001],TUFTS STEWARD DPO POS [17000108],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.00039434097976028866,,telethx isodose pln smpl wdosimetry calculation
GUIDEWIRE VASCULAR .015INX50CM STRAIGHT FIXED CORE,SUP-649063,CDM,C1769,HCPCS,272.0,RC,,,inpatient,,,98.0,73.5,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS ANTHEM MAINE HMO POS [11000121],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,4.7295947061696014e-05,,guidewire vascular 015inx50cm straight fixed core
Rmvl FB/Dacryolith Lacrimal Passages,PX-76001656,CDM,68530,CPT,761.0,RC,,,outpatient,,,1629.0,1221.75,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS OUT OF STATE PPO [11000112],,324.22,,,459.09,267.91,909.14,other,ASC ,CPT,Unknown,Unknown,Unknown,0.0007862750083434002,,rmvl fbdacryolith lacrimal passages
ROD 80MM EXTERNAL FIXATOR CIRCULAR S/S THREADED TELESCOPE BX/5EA,SUP-266057,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,395.5,296.62,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS OUT OF STATE HMO [11000109],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.000190889248305479,,rod 80mm external fixator circular ss threaded telescope bx5ea
Hmii Sealed Inflow Cond #10414,PX-27000900,CDM,27000900,LOCAL,278.0,RC,,,outpatient,,,14750.0,11062.5,ELDER SERVICES [1037],ELDER SERVICE NEIGHBORHOOD PACE [103602],,,,,14750.0,,,other,APC grouping requires price history; No contract line matched,LOCAL,Unknown,Unknown,Unknown,0.0071194848470613895,,hmii sealed inflow cond 10414
HAMMERLOCK2 15X5MM DISTAL ANGLED,SUP-558558,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,2011.14,1508.35,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS MA CONNECTORCARE [11000141],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0009707221226158464,,hammerlock2 15x5mm distal angled
CAMPHOR-MENTHOL 0.5 %-0.5 % LOTION,RX-23063,CDM,25009999,HCPCS,250.0,RC,46122-0573-10,NDC,outpatient,222.0,ML,9.44,7.08,SENIOR WHOLE HEALTH [1014],SENIOR WHOLE HEALTH SCO MEDICAID REPLACEMENT [101404],,,,,9.44,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,4.550038722631525e-06,,camphormenthol 05 05 lotion
BONE PLATE 4.5-5X370MM 18 HOLE CONDYLAR VA LCP CURVED RIGHT,SUP-367737,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,5371.92,4028.94,GENERIC MEDICARE REPLACEMENT [1010],CONNECTICARE MEDICARE REPLACEMENT [101002],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.002592897809161504,,bone plate 455x370mm 18 hole condylar va lcp curved right
SCREW BONE 10X3.5MM CORTICAL DVR TI ANATOMIC,SUP-207386,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,268.8,201.6,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS SELECT LIMITED NETWORK HMO [11000117],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0001297372427291781,,screw bone 10x35mm cortical dvr ti anatomic
APIXABAN 5 MG TABLET,RX-160996,CDM,25009999,HCPCS,259.0,RC,00003-0894-31,NDC,outpatient,1.0,UN,5.9,,UNITED HEALTHCARE [1016],UNITED VA COMMUNITY CARE NETWORK [101619],,,,,5.9,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,,,apixaban 5 mg tablet
Sensorimotor Exam Ocular,PX-51000010,CDM,92060,CPT,920.0,RC,,,outpatient,,,306.0,229.5,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS OUT OF STATE HMO [11000109],,90.51,,,90.51,31.4,245.43,fee schedule,,CPT,Unknown,Unknown,Unknown,0.00014769284108298567,,sensorimotor exam ocular
Vit B Comb W/C Allbee-T Tab,PX-25000060,CDM,25000060,LOCAL,250.0,RC,,,inpatient,,,2.0,1.5,INTERNATIONAL COMMERCIAL [140001],QUALITY HEALTH MANAGEMENT [14000112],,,72.0,,1.44,,,percent of total billed charges,,LOCAL,Unknown,Unknown,Unknown,9.589190518700104e-07,,vit b comb wc allbeet tab
SODIUM CITRATE-CITRIC ACID 500 MG-334 MG/5 ML ORAL SOLUTION,RX-15706,CDM,25009999,HCPCS,250.0,RC,00121-0595-16,NDC,inpatient,473.0,ML,40.21,30.16,TUFTS HEALTH PLAN [170001],TUFTS SPIRIT [17000115],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,1.940363047911464e-05,,sodium citratecitric acid 500 mg334 mg5 ml oral solution
Mgh Porphyrins Total,PX-30002171,CDM,84311,CPT,301.0,RC,,,inpatient,,,104.0,78.0,HARVARD PILGRIM [120001],HPHC NH LOCAL HMO [12000122],,,,,,,,,,CPT,Unknown,Unknown,Unknown,5.0192011312310135e-05,,mgh porphyrins total
Whfo Dynamic Flexor Hing Wrist/Finger T1,PX-27000492,CDM,L3900,HCPCS,274.0,RC,,,inpatient,,,1200.0,900.0,VETERANS ADMINISTRATION [160006],VETERANS ADMINISTRATION SPECIAL BILLING [16000605],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0005792064144244904,,whfo dynamic flexor hing wristfinger t1
"Heartware Battery, Each",PX-27000764,CDM,Q0506,HCPCS,274.0,RC,,,outpatient,,,2625.0,1968.75,MGB HEALTH PLAN [150001],MGBHP EMPLOYEES FAMILY [15000110],,,38.0,,997.5,963.16,2080.57,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,0.001267021673945345,,heartware battery
IXABEPILONE 45 MG INTRAVENOUS SOLUTION,RX-88653,CDM,J9207,HCPCS,636.0,RC,00015-1910-98,NDC,outpatient,22.5,ML,14329.0,10746.75,ELDER SERVICES [1037],NORTH SHORE ELDER SERVICES [103603],,,,,14329.0,6966.0,14081.4,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,0.006916277672143299,,ixabepilone 45 mg intravenous solution
TENDON TIBIALIS SM 7.5MM ANTERIOR,SUP-635010,CDM,C1889,HCPCS,278.0,RC,,,inpatient,,,5037.0,3777.75,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS OUT OF STATE PPO MEDICARE REPLACEMENT [11000111],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0024312395026922233,,tendon tibialis sm 75mm anterior
"Xr Fluoro Needle Placement|PROFESSIONAL COMPONENT|SIGNIFICANT, SEPARATELY IDENTIFIABLE EVALUATION AND MANAGEMENT SERVICE BY THE SAME PHYSICIAN ON THE SAME DAY OF THE PROCEDURE OR OTHER SERVICE|MULTIPLE PROCEDURES",PX-32000364,CDM,77002,CPT,320.0,RC,,,outpatient,,,1028.0,771.0,CHAMPVA [160001],CHAMPVA [16000101],26|25|51,,,Paid using APC or APG reimbursement logic. Includes reimbursement for any outliers.,1028.0,,,other,Tricare OPPS,CPT,Unknown,Unknown,Unknown,0.0004961859059068854,,xr fluoro needle placementprofessional componentsignificant separately identifiable evaluation management service physician day procedure servicemultiple procedures
PLATE HIP 142MM 8 HOLE 135DEG DHS SS COMPRESSION STD BARREL,SUP-32281,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,2007.25,1505.44,WELLSENSE [1003],WELLSENSE CARE ALLIANCE ACO [100318],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0009688493344004494,,plate hip 142mm 8 hole 135deg dhs ss compression std barrel
Endo Small Intest G-Tube to J-Tube,PX-75000147,CDM,44373,CPT,750.0,RC,,,outpatient,,,4832.0,3624.0,COVID19 HRSA UNINSURED TESTING AND TREATMENT FUND [160008],COVID19 HRSA UNINSURED TESTING AND TREATMENT FUND [16000801],,199.59,,,199.59,199.59,4191.77,fee schedule,,CPT,Unknown,Unknown,Unknown,0.002332290640796241,,endo small intest gtube jtube
"IGG 2.5 GRAM/25 ML (10 %)-HYALURONIDASE,RECOMB. SUBCUTANEOUS SOLUTION",RX-179558,CDM,J1575,HCPCS,636.0,RC,00944-2510-02,NDC,outpatient,25.0,ML,1801.89,1351.42,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS ANTHEM PATHWAY HMO POS [11000116],,794.94,,,794.94,476.03,1035.5,fee schedule,,HCPCS,Unknown,Unknown,Unknown,0.00086972670864943,,igg 25 gram25 ml 10 hyaluronidaserecomb subcutaneous solution
SCREW MAXDRIVE 2.0X8MM 12 CMF MMF DRILL FREE THD TTL S/S LEVEL ONE,SUP-514228,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,1842.4,1381.8,MASSHEALTH [3001],MASSHEALTH PCC [300106],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0008892783601902426,,screw maxdrive 20x8mm 12 cmf mmf drill free thd ttl ss level one
SODIUM HYALURONATE 10 MG/ML INTRAOCULAR SYRINGE,RX-28913,CDM,25009998,HCPCS,250.0,RC,08065-1830-85,NDC,inpatient,0.4,ML,436.42,327.31,UNITED HEALTHCARE [1016],UNITED SCO ONE CARE MEDICARE REPLACEMENT [101626],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00021064040649466736,,sodium hyaluronate 10 mgml intraocular syringe
Other Digestive System O.R. Procedures With McC,356,MS-DRG,,,,,,,inpatient,,,169230.75,126923.06,ELDER SERVICES [1037],PEAK PACE SOLUTIONS [103605],,,,,47471.64,10489.8,67114.7,,,MS-DRG,Unknown,Unknown,Unknown,0.08168384615197981,,digestive system procedures mcc
GUIDEWIRE VERRATA 185CM .014IN CORONARY PERIPHERAL PRESSURE STRAIGHT TIP VASCULAR,SUP-436015,CDM,C1769,HCPCS,272.0,RC,,,inpatient,,,2362.5,1771.87,MEDICAID NON MASSACHUSETTS [3002],NH MEDICAID [300205],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0011403156451318096,,guidewire verrata 185cm 014in coronary peripheral pressure straight tip vascular
PIECE TWO 5.0MM CRANIOFACIAL CHIN CONTOURED MEDPORE,SUP-132571,CDM,,,278.0,RC,,,outpatient,,,1658.13,1243.6,WELLSENSE [1003],WELLSENSE BILH PERFORMANCE NTWK ACO [100316],,,,,1658.13,,,other,No contract line matched,CDM,Unknown,Unknown,Unknown,0.0008003370092047155,,piece two 50mm craniofacial chin contoured medpore
CAFFEINE CITRATE SYR 20 MG/ML (NEO),RX-700276,CDM,J0706,HCPCS,636.0,RC,72485-0104-01,NDC,inpatient,3.0,ML,20.87,15.65,CHAMPVA [160001],CHAMPVA [16000101],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,1.0065432195467758e-05,,caffeine citrate syr 20 mgml neo
Cystourethroscopy W/Steroid Injection Stricture,PX-76001284,CDM,52283,CPT,761.0,RC,,,inpatient,,,6780.0,5085.0,TUFTS HEALTH PLAN ALTERNATE [170002],TUFTS CARELINK HYBRID [17000203],,,,,,1565.78,1565.78,,,CPT,Unknown,Unknown,Unknown,0.0032725461674956266,,cystourethroscopy wsteroid injection stricture
FILGRASTIM-SNDZ 300 MCG/0.5 ML SUBCUTANEOUS SYRINGE (FOR 10 MCG/KG MOBILIZATION DOSING),RX-7002620,CDM,Q5101,HCPCS,636.0,RC,61314-0318-05,NDC,inpatient,0.5,ML,1125.24,843.93,MEDICAID NON MASSACHUSETTS [3002],FLORIDA MEDICAID [300202],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0005431214538618382,,filgrastimsndz 300 mcg05 ml subcutaneous syringe 10 mcgkg mobilization dosing
LUMBAR ROD 5.5X60MM TITANIUM PRECUT STRAIGHT,SUP-215447,CDM,C1889,HCPCS,278.0,RC,,,inpatient,,,525.0,393.75,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS ANTHEM PATHWAY HMO POS [11000116],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00025339918623040124,,lumbar rod 55x60mm titanium precut straight
CANGRELOR 50 MG INTRAVENOUS SOLUTION,RX-500321,CDM,C9460,HCPCS,636.0,RC,10122-0620-10,NDC,inpatient,5.0,ML,3743.84,2807.88,MEDICARE [2001],MEDICARE PART A & B [200103],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.001807060428304863,,cangrelor 50 mg intravenous solution
Test Rectal Sensation Tone Complian,PX-75000323,CDM,91120,CPT,750.0,RC,,,inpatient,,,2110.0,1582.5,MEDICARE [2001],MEDICARE A [200101],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.0010184428257676327,,test rectal sensation tone complian
HC Infantile Myofibromatosis & Basal Ganglia Calc via Pdgfrb Gene,PX-31000535,CDM,81479,CPT,310.0,RC,,,inpatient,,,2294.0,1720.5,UNITED HEALTHCARE ALTERNATE [1020],UNITED HARVARD PILGRIM PREFERRED A [102002],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.0011072554627864657,,hc infantile myofibromatosis basal ganglia calc via pdgfrb gene
Proton Beam Cplx|ROUTINE CLINICAL SERVICE FOR CLINICAL RESEARCH STUDY,PX-33000059,CDM,77525,CPT,333.0,RC,,,outpatient,,,7900.0,5925.0,MEDICARE [2001],MEDICARE B [200102],Q1,,,,7900.0,,,other,APC grouping requires price history; No contract line matched,CPT,Unknown,Unknown,Unknown,0.0038131448276102634,,proton beam cplxroutine clinical service clinical research study
WASHER BONE 3.5X4.5MM STAINLESS STEEL,SUP-38498,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,147.63,110.72,HARVARD PILGRIM [120001],HARVARD PILGRIM SELECT OR ELEVATE [12000112],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,7.124961626344218e-05,,washer bone 35x45mm stainless steel
Red Cells L/R Irr Ea,PX-39000020,CDM,P9040,HCPCS,390.0,RC,,,inpatient,,,2045.0,1533.75,HARVARD PILGRIM [120001],HPHC HPI BMC TIERED HMO [12000123],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0009870687963859795,,red cells lr irr ea
Aortic And Heart Assist Procedures Except Pulsation Balloon Without McC,269,MS-DRG,,,,,,,inpatient,,,146807.53,110105.65,MEDICARE MAP ALTERNATE [2004],MEDICARE MAP ALTERNATE [200401],,31451.28,,"Wage-adjusted base payment rate plus any adjustments related to capital costs, indirect medical education (IME), disproportionate share hospital (DSH) adjustors, new technology, hemophilia, sole community hospital (SCH) and Medicare Dependent Hospital (MDH) adjustors, transfers, and outliers.",46152.0,23659.44,98188.7,other,Inpatient DRG,MS-DRG,Unknown,Unknown,Unknown,0.07086066839888636,,aortic heart assist procedures except pulsation balloon without mcc
